currency_id,currency_name,currency_code,date,buying,selling
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-18,7.5739,7.6496
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-18,2.931,2.9603
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-18,72.5833,73.3091
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-18,178.9738,180.7635
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-18,15.0807,15.2315
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-18,14.7675,14.9152
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-18,35.12,35.4713
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-18,58.3912,58.9751
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-19,0.6653,0.6719
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-19,55.4121,55.9662
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-19,67.5418,68.2172
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-19,61.6581,62.2746
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-19,5.0602,5.1108
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-19,5.0559,5.1065
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-19,7.8436,7.9221
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-19,0.3103,0.3197
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-19,0.3697,0.3808
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-19,0.3702,0.3739
01hccadraq98pvxp1nsh044w6t,CANADIAN DOLLAR,CAD,2023-10-19,40.6068,41.0129
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-19,7.5745,7.6503
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-19,2.9405,2.9699
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-19,72.6508,73.3773
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-19,179.1252,180.9164
01hccadrasnh4xq05xxqfaah9b,UAE DIRHAM,AED,2023-10-19,15.0839,15.2347
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-19,14.7718,14.9196
01hccadrarzxbt9gfyk2cxb5vn,AUSTRALIAN DOLLAR,AUD,2023-10-19,35.292,35.6449
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-19,58.5207,59.1059
01hccadrak2aacqe0k4b7dvfqp,DJIBOUTI FRANC,DJF,2023-10-20,0.3104,0.3197
01hccadrabmb0fb757f4d09v9g,US DOLLAR,USD,2023-10-20,55.4237,55.9779
01hccadrae4tmhz5kqtkhq2rr3,POUND STERLING,GBP,2023-10-20,67.2622,67.9348
01hccadraf1dnr88nrw8n2yh3d,SWISS FRANC,CHF,2023-10-20,61.8154,62.4336
01hccadragtwvf1xa9qcfadn41,SWIDISH KNRONER,SEK,2023-10-20,5.0444,5.0948
01hccadrayy2a6t7cdx0tt1czv,NORWEGIAN KRONE,NOK,2023-10-20,5.0207,5.0709
01hccadrahmapvgqe52mex068a,DANISH KNRONER,DKK,2023-10-20,7.8525,7.931
01hccadramc36zh3208fscxd5h,INDIAN RUPEE,INR,2023-10-20,0.6664,0.6731
01hccadranckd8vetw7ca8ef28,KENYAN SHILLING,KES,2023-10-20,0.3696,0.3807
01hccadraxrgm2gyc039fnt6dd,KUWAITI DINAR,KWD,2023-10-20,179.146,180.9375
01hccadraw6qj2h560vdnzvv07,CHINESE YUAN,CNY,2023-10-20,7.576,7.6518
01hccadraw6qj2h560vdnzvv06,SOUTH AFRICAN RAND,ZAR,2023-10-20,2.9015,2.9305
01hccadravryrxerw8h7rrjeqs,SDR,XDR,2023-10-20,72.6716,73.3983
01hccadratqj2hq49k86vr0nyy,EURO,EUR,2023-10-20,58.5884,59.1743
01hccadrapzdjbbxb2pgdgfkbp,JAPANESE YEN,JPY,2023-10-20,0.3698,0.3735
01hccadrasnh4xq05xxqfaah9a,SAUDI RIYAL,SAR,2023-10-20,14.7757,14.9235
